cdo_nm,no_cm1,Em_solar_Wm2nm1,Em_surfaceW2m2nm1
677,14771.0487444609,1.5,1.2669
678,14749.2625368732,1.507,1.2737
679,14727.5405007364,1.493,1.2629
680,14705.8823529412,1.494,1.265
681,14684.2878120411,1.487,1.2601
682,14662.7565982405,1.493,1.2662
683,14641.2884333821,1.476,1.2526
684,14619.8830409357,1.466,1.2445
685,14598.5401459854,1.465,1.2454
686,14577.2594752187,1.433,1.2174
687,14556.0407569141,1.472,0.88285
688,14534.8837209302,1.476,1.0195
689,14513.7880986938,1.478,1.026
690,14492.7536231884,1.479,1.0746
691,14471.7800289436,1.468,1.1201
692,14450.8670520231,1.454,1.1516
693,14430.0144300144,1.458,1.1446
694,14409.2219020173,1.457,1.1318
695,14388.4892086331,1.435,1.1538
696,14367.816091954,1.442,1.1513
697,14347.2022955524,1.438,1.2151
698,14326.6475644699,1.417,1.1961
699,14306.1516452074,1.434,1.1721
700,14285.7142857143,1.422,1.1636
701,14265.335235378,1.4131,1.1489
702,14245.0142450142,1.3987,1.15
703,14224.7510668563,1.4095,1.1567
704,14204.5454545455,1.4187,1.1864
705,14184.3971631206,1.433,1.1989
706,14164.3059490085,1.4138,1.1925
707,14144.2715700141,1.404,1.1875
708,14124.2937853107,1.399,1.1839
709,14104.3723554302,1.39,1.188
710,14084.5070422535,1.404,1.1954
711,14064.6976090014,1.397,1.1934
712,14044.9438202247,1.3818,1.1856
713,14025.2454417952,1.3702,1.1719
714,14005.6022408964,1.3819,1.1823
715,13986.013986014,1.3502,1.1428
716,13966.4804469274,1.3694,1.1548
717,13947.0013947001,1.365,1.0081
718,13927.5766016713,1.357,0.93873
719,13908.2058414465,1.301,0.84274
720,13888.8888888889,1.3487,0.8994
721,13869.625520111,1.348,0.98967
722,13850.4155124654,1.36,1.1281
723,13831.2586445367,1.351,1.0423
724,13812.1546961326,1.3607,0.96305
725,13793.1034482759,1.3465,0.94741
726,13774.1046831956,1.3429,0.98638
727,13755.1581843191,1.3444,0.98988
728,13736.2637362637,1.337,0.94968
729,13717.4211248285,1.2796,0.95503
730,13698.6301369863,1.3357,1.0294
731,13679.8905608755,1.3104,0.97702
732,13661.2021857924,1.3333,1.052
733,13642.5648021828,1.3108,1.0901
734,13623.9782016349,1.339,1.1261
735,13605.4421768707,1.3271,1.1101
736,13586.9565217391,1.31,1.0994
737,13568.5210312076,1.312,1.0978
738,13550.135501355,1.3,1.1184
739,13531.799729364,1.2646,1.0855
740,13513.5135135135,1.283,1.1119
741,13495.2766531714,1.2707,1.1078
742,13477.0889487871,1.2649,1.1084
743,13458.9502018843,1.2892,1.1316
744,13440.8602150538,1.2955,1.1408
745,13422.8187919463,1.292,1.1404
746,13404.8257372654,1.2892,1.1381
747,13386.8808567604,1.289,1.1389
748,13368.9839572193,1.2808,1.1323
749,13351.134846462,1.276,1.1286
750,13333.3333333333,1.274,1.1273
751,13315.5792276964,1.268,1.1224
752,13297.8723404255,1.272,1.1265
753,13280.2124833997,1.265,1.121
754,13262.599469496,1.2809,1.1353
755,13245.0331125828,1.2771,1.1321
756,13227.5132275132,1.261,1.1185
757,13210.0396301189,1.2598,1.1176
758,13192.6121372032,1.268,1.1246
759,13175.2305665349,1.25,1.0932
760,13157.8947368421,1.259,0.24716
761,13140.6044678055,1.2487,0.14328
762,13123.3595800525,1.246,0.63491
763,13106.1598951507,1.2543,0.35217
764,13089.0052356021,1.2566,0.49885
765,13071.8954248366,1.2452,0.63377
766,13054.8302872063,1.2,0.7508
767,13037.8096479791,1.212,0.89574
768,13020.8333333333,1.231,1.0222
769,13003.9011703511,1.2142,1.0347
770,12987.012987013,1.2146,1.0646
771,12970.168612192,1.2073,1.0716
772,12953.3678756477,1.212,1.0802
773,12936.6106080207,1.21,1.0797
774,12919.8966408269,1.209,1.08
775,12903.2258064516,1.208,1.0801
776,12886.5979381443,1.2102,1.0827
777,12870.0128700129,1.2028,1.0764
778,12853.470437018,1.2014,1.0754
779,12836.9704749679,1.2067,1.0803
780,12820.5128205128,1.193,1.0687
781,12804.0973111396,1.1898,1.0662
782,12787.7237851662,1.195,1.0714
783,12771.3920817369,1.1896,1.0672
784,12755.1020408163,1.181,1.0602
785,12738.8535031847,1.1874,1.0649
786,12722.6463104326,1.189,1.0656
787,12706.4803049555,1.1877,1.053
788,12690.3553299492,1.18,1.0399
789,12674.2712294043,1.1812,1.0359
790,12658.2278481013,1.1704,1.0045
791,12642.2250316056,1.1632,1.0179
792,12626.2626262626,1.15,1.0084
793,12610.3404791929,1.1449,1.0015
794,12594.4584382872,1.126,1.0101
795,12578.6163522013,1.128,1.0066
796,12562.8140703518,1.1427,0.98985
797,12547.0514429109,1.158,1.0057
798,12531.328320802,1.1501,1.0245
799,12515.6445556946,1.135,1.0048
800,12500,1.1248,0.98859
801,12484.3945068664,1.1427,0.99978
802,12468.8279301746,1.1422,1.0011
803,12453.300124533,1.1241,0.98288
804,12437.8109452736,1.1342,0.99452
805,12422.3602484472,1.1001,0.9727
806,12406.9478908189,1.1309,1.0122
807,12391.5737298637,1.123,1.0018
808,12376.2376237624,1.1162,0.99844
809,12360.9394313968,1.098,0.97353
810,12345.6790123457,1.11,0.97488
811,12330.4562268804,1.1143,0.97273
812,12315.2709359606,1.116,0.94882
813,12300.12300123,1.118,0.93236
814,12285.0122850123,1.1174,0.83681
815,12269.9386503067,1.1091,0.82927
816,12254.9019607843,1.105,0.77171
817,12239.9020807834,1.1083,0.78984
818,12224.9388753056,1.0861,0.76299
819,12210.0122100122,1.0738,0.83844
820,12195.1219512195,1.074,0.79899
821,12180.2679658953,1.076,0.92292
822,12165.4501216545,1.056,0.88081
823,12150.6682867558,1.076,0.62576
824,12135.9223300971,1.0715,0.86619
825,12121.2121212121,1.0699,0.89752
826,12106.5375302663,1.0759,0.8653
827,12091.8984280532,1.0762,0.91178
828,12077.2946859903,1.0749,0.7887
829,12062.7261761158,1.062,0.86135
830,12048.1927710843,1.0563,0.8493
831,12033.6943441637,1.056,0.85666
832,12019.2307692308,1.055,0.82961
833,12004.8019207683,1.0327,0.88622
834,11990.4076738609,1.0459,0.86608
835,11976.0479041916,1.0476,0.92917
836,11961.7224880383,1.0597,0.90135
837,11947.43130227,1.0511,0.93493
838,11933.1742243437,1.0549,0.92585
839,11918.9511323004,1.04,0.92783
840,11904.7619047619,1.05,0.94124
841,11890.6064209275,1.052,0.93626
842,11876.4845605701,1.0287,0.92411
843,11862.3962040332,1.0271,0.93171
844,11848.3412322275,1.014,0.91434
845,11834.3195266272,1.036,0.94226
846,11820.3309692671,1.037,0.94447
847,11806.3754427391,1.006,0.91947
848,11792.4528301887,1.011,0.9201
849,11778.5630153121,1.005,0.91447
850,11764.7058823529,0.91,0.829
851,11750.8813160987,0.998,0.90454
852,11737.0892018779,0.99,0.89942
853,11723.3294255569,0.981,0.8954
854,11709.6018735363,0.869,0.79
855,11695.9064327485,0.927,0.84746
856,11682.2429906542,0.99017,0.90343
857,11668.6114352392,1.0056,0.92059
858,11655.0116550117,1.007,0.92094
859,11641.4435389988,1.005,0.92081
860,11627.9069767442,1,0.91764
861,11614.4018583043,0.999,0.91648
862,11600.9280742459,1.006,0.92367
863,11587.4855156431,1.012,0.92934
864,11574.0740740741,0.99006,0.90956
